letter	frequency
01	15315
02	12952
03	11761
04	4611
05	18996
06	17101
07	18569
08	13293
09	17087
10	9811
11	13530
12	10564
13	18855
14	12667
15	22611
16	9278
17	18823
18	18316
19	18198
20	11424
21	4905
22	14178
23	16286
24	13077
25	5285
26	21818
27	14752
28	13765
29	15046
30	17760
