letter	frequency
01	7336
02	8493
03	4455
04	1102
05	8307
06	5697
07	6732
08	7741
09	7878
10	3585
11	3721
12	8097
13	8195
14	5519
15	4193
16	2777
17	9766
18	4041
19	10685
20	5811
21	6738
22	9019
23	6540
24	5972
25	4031
26	416
27	0
28	7237
29	9187
30	9441
