letter	frequency
01	8337
02	9139
03	16940
04	11880
05	12118
06	7445
07	5869
08	7083
09	6908
10	10093
11	6388
12	12925
13	4650
14	13683
15	9010
16	8894
17	5811
18	1222
19	7820
20	11997
21	10542
22	5746
23	15056
24	11843
25	1917
26	8585
27	9215
28	5618
29	7237
30	9361
